,backend,basis_gate,q1,q2,error
381,ibm_kyiv,rz,110,,0.0
382,ibm_kyiv,rz,111,,0.0
383,ibm_kyiv,rz,112,,0.0
384,ibm_kyiv,rz,113,,0.0
385,ibm_kyiv,rz,114,,0.0
386,ibm_kyiv,rz,115,,0.0
387,ibm_kyiv,rz,116,,0.0
388,ibm_kyiv,rz,117,,0.0
389,ibm_kyiv,rz,118,,0.0
390,ibm_kyiv,rz,119,,0.0
391,ibm_kyiv,rz,120,,0.0
392,ibm_kyiv,rz,121,,0.0
393,ibm_kyiv,rz,122,,0.0
394,ibm_kyiv,rz,123,,0.0
395,ibm_kyiv,rz,124,,0.0
396,ibm_kyiv,rz,125,,0.0
397,ibm_kyiv,rz,126,,0.0
398,ibm_kyiv,sx,0,,0.0001323951929770011
399,ibm_kyiv,sx,1,,0.00019995595793613998
400,ibm_kyiv,sx,2,,0.0001319866770732589
401,ibm_kyiv,sx,3,,0.00016838775933896173
402,ibm_kyiv,sx,4,,0.0005994139227358977
403,ibm_kyiv,sx,5,,0.00016534191815511612
404,ibm_kyiv,sx,6,,8.300612396370162e-05
405,ibm_kyiv,sx,7,,0.00011770843965995591
406,ibm_kyiv,sx,8,,0.022998910804154327
407,ibm_kyiv,sx,9,,0.0001571408064775315
408,ibm_kyiv,sx,10,,0.00016299212348484335
409,ibm_kyiv,sx,11,,0.00016935711980506842
410,ibm_kyiv,sx,12,,0.00013762637141621073
411,ibm_kyiv,sx,13,,0.00015157008625957502
412,ibm_kyiv,sx,14,,0.00011072359260194042
413,ibm_kyiv,sx,15,,0.0009264655987565321
414,ibm_kyiv,sx,16,,0.00037710867816733936
415,ibm_kyiv,sx,17,,0.00040491313626045373
416,ibm_kyiv,sx,18,,0.00018079494001883533
417,ibm_kyiv,sx,19,,0.001182965801892983
418,ibm_kyiv,sx,20,,0.0006212468894931966
419,ibm_kyiv,sx,21,,0.00024746958670903796
420,ibm_kyiv,sx,22,,0.00016769016451158016
421,ibm_kyiv,sx,23,,0.00029526328671072567
422,ibm_kyiv,sx,24,,0.0002170204874568306
423,ibm_kyiv,sx,25,,0.00014211998666028867
424,ibm_kyiv,sx,26,,0.0015134928179495162
425,ibm_kyiv,sx,27,,0.0005129932699063026
426,ibm_kyiv,sx,28,,0.0002120476193422189
427,ibm_kyiv,sx,29,,0.00012782202336802213
428,ibm_kyiv,sx,30,,0.001164311371220934
429,ibm_kyiv,sx,31,,0.00043098849684200746
430,ibm_kyiv,sx,32,,0.0001344455833099757
431,ibm_kyiv,sx,33,,0.00016406128080210633
432,ibm_kyiv,sx,34,,0.00031954165658679525
433,ibm_kyiv,sx,35,,0.00028933304137484167
434,ibm_kyiv,sx,36,,0.0001726597259943198
435,ibm_kyiv,sx,37,,0.0021378338209448117
436,ibm_kyiv,sx,38,,0.0007789631394246972
437,ibm_kyiv,sx,39,,0.0012870661178640119
438,ibm_kyiv,sx,40,,0.00016497886820818265
439,ibm_kyiv,sx,41,,0.00014680553670424015
440,ibm_kyiv,sx,42,,9.532209074479368e-05
441,ibm_kyiv,sx,43,,0.00011710473103236743
442,ibm_kyiv,sx,44,,0.0008700815368095948
443,ibm_kyiv,sx,45,,0.00021789719064695988
444,ibm_kyiv,sx,46,,0.0004686482871445031
445,ibm_kyiv,sx,47,,0.0015729431839919148
446,ibm_kyiv,sx,48,,0.00023425387123352266
447,ibm_kyiv,sx,49,,0.00039062265242005345
448,ibm_kyiv,sx,50,,0.0003496389943282448
449,ibm_kyiv,sx,51,,0.00017749000950507968
450,ibm_kyiv,sx,52,,0.0003909373699393091
451,ibm_kyiv,sx,53,,0.0001269092217322176
452,ibm_kyiv,sx,54,,0.00034806808116761233
453,ibm_kyiv,sx,55,,0.00014834074695944797
454,ibm_kyiv,sx,56,,0.0008681230138724076
455,ibm_kyiv,sx,57,,0.0004961949204910745
456,ibm_kyiv,sx,58,,0.0005040171241705705
457,ibm_kyiv,sx,59,,0.00014840849852862595
458,ibm_kyiv,sx,60,,0.00013610542889751174
459,ibm_kyiv,sx,61,,0.0001859482285688311
460,ibm_kyiv,sx,62,,0.0010909163364495823
461,ibm_kyiv,sx,63,,0.00045426013671517434
462,ibm_kyiv,sx,64,,0.0003055303104613148
463,ibm_kyiv,sx,65,,0.00019901888142258368
464,ibm_kyiv,sx,66,,0.001360105345403852
465,ibm_kyiv,sx,67,,0.00020578884433349889
466,ibm_kyiv,sx,68,,0.000174096405536834
467,ibm_kyiv,sx,69,,0.000476188092954815
468,ibm_kyiv,sx,70,,0.0003494117854195947
469,ibm_kyiv,sx,71,,0.0003657843918654765
